Company,Year,Records,Organization
AOL,2004,92000000,web
Ameritrade,2005,200000,financial
Automatic Data Processing,2005,125000,financial
Bank of America,2005,1200000,financial
CardSystems Solutions Inc,2005,40000000,financial
Citigroup,2005,3900000,financial
DSW Inc.,2005,1400000,retail
Hewlett Packard,2006,200000,tech
KDDI,2006,4000000,telecoms
T-Moobile,2006,17000000,telecoms
Gap Inc,2007,800000,retail
Hannaford Brothers Supermarket,2007,4200000,retail
Monster.com,2007,1600000,web
TD Ameritrade,2007,6300000,financial
The Bank of New York Mellon,2008,12500000,financial
Norwegian Tax Administration,2008,3950000,government
RBS Worldpay,2008,1500000,financial
Stanford University,2008,72000,academic
Starbucks,2008,97000,retail
UK Minstry of Defence,2008,1700000,government
Affinity Health Plan,2009,344579,healthcare
"AvMed, Inc",2009,1220000,healthcare
CheckFree Corporation,2009,5000000,financial
Network Solutions,2009,573000,tech
RockYou!,2009,32000000,web
Virginia Department of Health,2009,8257378,healthcare
AT&T,2010,114000,telecoms
Betfair,2010,2300000,web
Bank of Cleveland,2010,400000,financial
Gawker,2010,1500000,web
NYC Health & Hospitals Corp,2010,1700000,healthcare
Ohio State University,2010,760000,academic
Accendo Insurance Co.,2011,175350,healthcare
Bethesda Game Studios,2011,200000,gaming
Honda Canada,2011,283000,retail
Massachusetts Government,2011,210000,government
Nemours Foundation,2011,1055489,healthcare
Nexon Korea Corp,2011,13200000,web
National Health Service (NHS),2011,8300000,healthcare
Restaurant Depot,2011,200000,retail
Sega,2011,1290755,gaming 
Sony Online Entertainment,2011,24600000,gaming
Sony Pictures,2011,1000000,web
Steam,2011,35000000,web
Tianya Club,2011,28000000,web
University of Wisconsin,2011,73000,academic
Washington Post,2011,1270000,media
Blizzard Entertainment,2012,14000000,gaming
Dropbox,2012,69648009,web
Emory Healthcare,2012,315000,healthcare
Formspring,2012,420000,web
Global Payments,2012,7000000,financial
KT Corporation,2012,8700000,telecoms
US Medicaid,2012,780000,healthcare
Rambler.ru,2012,98167935,web
TD Bank,2012,260000,financial
Zappos,2012,24000000,web
Adobe System,2013,152000,tech
Advocate Medical Group,2013,4000000,healthcare
Apple,2013,275000,tech
Drupal,2013,1000000,web
Dun & Bradstreet,2013,1000000,tech
Evernote,2013,50000000,web
Kirkwood Community College,2013,125000,academic
Kroll Background America,2013,1000000,tech
Living Social,2013,50000000,web
Nintendo,2013,240000,gaming
Scribd,2013,500000,web
SnapChat,2013,4700000,social media
Target Corporation,2013,110000000,retail
Tumblr,2013,65469298,web
Twitter,2013,250000,web
Ubuntu,2013,2000000,tech
Yahoo,2013,3000000000,web
Community Health Systems,2014,4500000,healthcare
Domino's Pizza (France),2014,600000,web
eBay,2014,145000000,web
Gmail,2014,5000000,web
Home Depot,2014,56000000,retail
JP Morgan Chase & Co,2014,76000000,financial
LexisNexis,2014,1000000,tech
MacRumors.com,2014,860000,web
Michaels,2014,3000000,retail
Mozilla,2014,76000,web
Neiman Marcus,2014,1100000,retail
New York Taxis,2014,52000,transportation
Ancerstory.com,2015,300000,web
Anthem Inc,2015,80000000,healthcare
Ashley Madison,2015,32000000,web
Hilton Hotels,2015,363000,hotel
Internal Revenue Service (IRS),2015,720000,financial
UK Revenue & Customs,2007,25000000,government
Patreon,2015,2300000,web
Premera,2015,11000000,healthcare
Scottrade,2015,4600000,financial
Slack,2015,500000,tech
UCLA Medical Center,2015,4500000,healthcare
VTech,2015,5000000,retail
Walmart,2015,1300000,retail
21st Century Oncology,2016,2200000,healthcare
Cox Communication,2016,40000,telecoms
Friend Finder Networks,2016,412214298,web
Nival Networks,2016,1500000,gaming
Taobao,2016,20000000,retail
University of California,2016,80000,academic
Verizon Communications,2016,1500000,telecoms
Weebly,2016,43430316,web
Bell Canada,2017,1900000,telecoms
Equifax,2017,143000000,financial
Taringa!,2017,28722877,web
Uber,2017,57000000,transportation
AerServ,2018,75000,web
Air Canada,2018,20000,transportation
British Airways,2018,500000,transportation
Cathay Pacific Airways,2018,9400000,transportation
Dubsmash,2018,162000000,social media
Google Plus,2018,500000,social media
Marriott International,2018,500000000,hotel
Orbitz,2018,880000,web
Quora,2018,100000000,web
SingHealth,2018,1500000,government
Under Armour,2018,150000000,retail
United States Postal Service,2018,60000000,government
Adobe Inc,2019,7500000,tech
Canva,2019,140000000,web
Capital One,2019,106000000,financial
DoorDash,2019,4900000,web
ElasticSearch,2019,108000000,tech
Facebook,2019,540000000,social media
First American Corporation,2019,885000000,financial
Microsoft,2019,250000000,tech
MongoDB,2019,275000000,tech
Mobile TeleSystems (MTS),2019,100000000,telecoms
StockX,2019,6800000,retail
Zynga,2019,173000000,social media
Westpac,2019,98000,financial
Clearview AI,2020,3000000000,tech
Virgin Media,2020,900000,telecoms
Wawa,2020,30000000,retail
